t_s,phase,label,jaw_measured,jaw_commanded,gripper_current,gripper_vel
0.000,survey,not_held,0.018,0.0179,27.0,-0.0
0.005,survey,not_held,0.0188,0.0178,28.0,-0.0
0.044,survey,not_held,0.0188,0.0176,26.0,-0.0
0.079,survey,not_held,0.0188,0.0175,26.0,-0.0
0.116,survey,not_held,0.0188,0.0173,27.0,-0.0
0.155,survey,not_held,0.0248,0.0172,10.0,-0.0587
0.194,survey,not_held,0.0248,0.0171,10.0,-0.0587
0.227,survey,not_held,0.0248,0.0169,10.0,-0.0587
0.266,survey,not_held,0.0241,0.0168,1.0,-0.0
0.305,survey,not_held,0.0233,0.0166,0.0,-0.0
0.343,survey,not_held,0.0233,0.0165,0.0,-0.0
0.377,survey,not_held,0.0233,0.0164,0.0,-0.0
0.412,survey,not_held,0.0241,0.0162,0.0,-0.0
0.447,survey,not_held,0.0241,0.0161,0.0,-0.0
0.483,survey,not_held,0.0241,0.0159,0.0,-0.0
0.517,survey,not_held,0.0241,0.0158,0.0,-0.0
0.555,survey,not_held,0.0241,0.0157,0.0,-0.0
0.592,survey,not_held,0.0241,0.0155,0.0,-0.0
0.626,survey,not_held,0.0233,0.0154,0.0,-0.0
0.659,survey,not_held,0.0233,0.0152,0.0,-0.0
0.694,survey,not_held,0.0233,0.0151,0.0,-0.0
0.729,survey,not_held,0.0241,0.015,0.0,-0.0
0.766,survey,not_held,0.0241,0.0148,0.0,-0.0
0.800,survey,not_held,0.0241,0.0147,0.0,-0.0
0.833,survey,not_held,0.0241,0.0145,0.0,-0.0
0.869,survey,not_held,0.0241,0.0144,0.0,-0.0
0.905,survey,not_held,0.0241,0.0143,0.0,-0.0
0.940,survey,not_held,0.0241,0.0141,0.0,-0.0
0.974,survey,not_held,0.0241,0.014,0.0,-0.0
1.013,survey,not_held,0.0241,0.0138,0.0,-0.0
1.050,survey,not_held,0.0218,0.0137,6.0,0.0117
1.089,survey,not_held,0.0218,0.0136,6.0,0.0117
1.124,survey,not_held,0.0218,0.0134,6.0,0.0117
1.158,survey,not_held,0.0218,0.0133,6.0,-0.0
1.193,survey,not_held,0.0218,0.0131,6.0,-0.0
1.228,survey,not_held,0.0218,0.013,6.0,-0.0
1.266,survey,not_held,0.0233,0.0129,5.0,-0.0
1.304,survey,not_held,0.0233,0.0127,5.0,-0.0
1.340,survey,not_held,0.0225,0.0126,4.0,-0.0
1.374,survey,not_held,0.0218,0.0124,6.0,-0.0
1.408,survey,not_held,0.0218,0.0123,6.0,-0.0
1.446,survey,not_held,0.0226,0.0122,6.0,-0.0
1.481,survey,not_held,0.0226,0.012,7.0,-0.0
1.517,survey,not_held,0.0226,0.0119,7.0,-0.0
1.552,survey,not_held,0.0218,0.0117,6.0,-0.0
1.588,survey,not_held,0.0218,0.0116,6.0,-0.0
1.623,survey,not_held,0.0218,0.0115,6.0,-0.0
1.657,survey,not_held,0.0218,0.0113,6.0,-0.0
1.693,survey,not_held,0.0218,0.0112,6.0,-0.0
1.729,survey,not_held,0.0218,0.011,6.0,-0.0
1.767,survey,not_held,0.0218,0.0109,5.0,-0.0
1.806,survey,not_held,0.0218,0.0108,5.0,-0.0
1.844,survey,not_held,0.0218,0.0106,5.0,-0.0
1.882,survey,not_held,0.0225,0.0105,5.0,-0.0
1.917,survey,not_held,0.0225,0.0104,5.0,-0.0
1.956,survey,not_held,0.0225,0.0102,5.0,-0.0
1.994,survey,not_held,0.0218,0.0101,5.0,-0.0
2.032,survey,not_held,0.0218,0.0099,5.0,-0.0
2.067,survey,not_held,0.0218,0.0098,6.0,-0.0
2.101,survey,not_held,0.0218,0.0097,6.0,-0.0
2.140,survey,not_held,0.0218,0.0095,6.0,-0.0
2.178,survey,not_held,0.0218,0.0094,6.0,-0.0
2.216,survey,not_held,0.0218,0.0092,6.0,-0.0
2.251,survey,not_held,0.0218,0.0091,6.0,-0.0
2.285,survey,not_held,0.021,0.009,17.0,-0.0
2.319,survey,not_held,0.021,0.0088,17.0,-0.0
2.352,survey,not_held,0.0203,0.0087,17.0,-0.0
2.387,survey,not_held,0.0203,0.0085,17.0,-0.0
2.426,survey,not_held,0.0203,0.0084,17.0,-0.0
2.464,survey,not_held,0.0203,0.0083,17.0,-0.0
2.500,survey,not_held,0.0203,0.0081,17.0,-0.0
2.536,survey,not_held,0.0203,0.008,17.0,-0.0
2.574,survey,not_held,0.0203,0.0078,14.0,-0.0
2.608,survey,not_held,0.0203,0.0077,14.0,-0.0
2.643,survey,not_held,0.0203,0.0076,14.0,-0.0
2.679,survey,not_held,0.0203,0.0074,14.0,-0.0
2.718,survey,not_held,0.0203,0.0073,17.0,-0.0
2.755,survey,not_held,0.0203,0.0071,17.0,-0.0
2.792,survey,not_held,0.0203,0.007,17.0,-0.0
2.825,survey,not_held,0.0203,0.0069,17.0,-0.0
2.859,survey,not_held,0.0203,0.0067,17.0,-0.0
2.895,survey,not_held,0.0203,0.0066,18.0,-0.0
2.930,survey,not_held,0.0203,0.0064,18.0,-0.0
2.964,survey,not_held,0.0203,0.0063,18.0,-0.0
3.002,survey,not_held,0.0203,0.0062,17.0,-0.0
3.036,survey,not_held,0.0203,0.006,17.0,-0.0
3.072,survey,not_held,0.0203,0.0059,18.0,-0.0
3.110,survey,not_held,0.0195,0.0057,18.0,-0.0
3.145,survey,not_held,0.0195,0.0056,18.0,-0.0
3.180,survey,not_held,0.0195,0.0055,17.0,-0.0
3.217,survey,not_held,0.0203,0.0053,13.0,-0.0
3.251,survey,not_held,0.0203,0.0052,13.0,-0.0
3.288,survey,not_held,0.0203,0.005,13.0,-0.0
3.326,survey,not_held,0.0203,0.0049,18.0,-0.0
3.364,survey,not_held,0.0203,0.0048,18.0,-0.0
3.403,survey,not_held,0.0195,0.0046,24.0,-0.0
3.441,survey,not_held,0.0195,0.0045,24.0,-0.0
3.477,survey,not_held,0.0195,0.0043,24.0,-0.0
3.511,survey,not_held,0.0188,0.0042,23.0,-0.0
3.545,survey,not_held,0.0188,0.0041,23.0,-0.0
3.581,survey,not_held,0.0188,0.0039,23.0,-0.0
3.616,survey,not_held,0.018,0.0038,20.0,-0.0
3.650,survey,not_held,0.018,0.0036,20.0,-0.0
3.688,survey,not_held,0.018,0.0035,20.0,-0.0
3.726,survey,not_held,0.018,0.0034,19.0,-0.0
3.761,survey,not_held,0.018,0.0032,19.0,-0.0
3.797,survey,not_held,0.018,0.0031,19.0,-0.0
3.832,survey,not_held,0.018,0.0029,19.0,-0.0
3.869,survey,not_held,0.018,0.0028,19.0,-0.0
3.905,survey,not_held,0.018,0.0027,19.0,-0.0
3.941,survey,not_held,0.018,0.0025,20.0,-0.0
3.977,survey,not_held,0.018,0.0024,20.0,-0.0
4.010,survey,not_held,0.0188,0.0022,22.0,-0.0
4.045,survey,not_held,0.0188,0.0021,22.0,-0.0
4.078,survey,not_held,0.0188,0.002,22.0,-0.0
4.116,survey,not_held,0.0188,0.0018,24.0,-0.0
4.150,survey,not_held,0.0188,0.0017,24.0,-0.0
4.188,survey,not_held,0.0188,0.0015,24.0,-0.0
4.226,survey,not_held,0.0188,0.0014,23.0,-0.0
4.261,survey,not_held,0.0188,0.0013,23.0,-0.0
4.295,survey,not_held,0.0188,0.0011,23.0,-0.0
4.329,survey,not_held,0.018,0.001,17.0,-0.0
4.365,survey,not_held,0.018,0.0008,17.0,-0.0
4.400,survey,not_held,0.018,0.0007,17.0,-0.0
