t_s,phase,label,jaw_measured,jaw_commanded,gripper_current,gripper_vel
0.000,survey,not_held,0.0165,0.0164,28.0,-0.0
0.004,survey,not_held,0.018,0.0163,26.0,-0.0
0.043,survey,not_held,0.018,0.0162,26.0,-0.0
0.082,survey,not_held,0.0165,0.0161,25.0,-0.0
0.121,survey,not_held,0.0165,0.0159,25.0,-0.0
0.160,survey,not_held,0.0233,0.0158,8.0,-0.0705
0.199,survey,not_held,0.0233,0.0157,8.0,-0.0705
0.237,survey,not_held,0.0233,0.0156,8.0,-0.0705
0.275,survey,not_held,0.0218,0.0155,0.0,0.0118
0.312,survey,not_held,0.0218,0.0154,0.0,0.0118
0.346,survey,not_held,0.021,0.0152,0.0,-0.0
0.381,survey,not_held,0.021,0.0151,2.0,-0.0
0.420,survey,not_held,0.021,0.015,2.0,-0.0
0.457,survey,not_held,0.0218,0.0149,2.0,-0.0
0.491,survey,not_held,0.0218,0.0148,0.0,-0.0
0.526,survey,not_held,0.0218,0.0146,0.0,-0.0
0.562,survey,not_held,0.0218,0.0145,0.0,-0.0
0.596,survey,not_held,0.0218,0.0144,0.0,-0.0
0.632,survey,not_held,0.0218,0.0143,0.0,-0.0
0.666,survey,not_held,0.021,0.0142,0.0,-0.0
0.702,survey,not_held,0.021,0.0141,1.0,-0.0
0.740,survey,not_held,0.021,0.0139,1.0,-0.0
0.775,survey,not_held,0.021,0.0138,0.0,-0.0
0.809,survey,not_held,0.021,0.0137,0.0,-0.0
0.844,survey,not_held,0.021,0.0136,0.0,-0.0
0.877,survey,not_held,0.021,0.0135,0.0,-0.0
0.911,survey,not_held,0.021,0.0133,0.0,-0.0
0.947,survey,not_held,0.021,0.0132,0.0,-0.0
0.985,survey,not_held,0.021,0.0131,0.0,-0.0
1.024,survey,not_held,0.021,0.013,0.0,-0.0
1.061,survey,not_held,0.021,0.0129,0.0,-0.0
1.098,survey,not_held,0.0218,0.0128,0.0,-0.0
1.137,survey,not_held,0.0218,0.0126,0.0,-0.0
1.171,survey,not_held,0.021,0.0125,1.0,-0.0
1.206,survey,not_held,0.0195,0.0124,2.0,-0.0
1.240,survey,not_held,0.0195,0.0123,2.0,-0.0
1.274,survey,not_held,0.0195,0.0122,1.0,-0.0
1.309,survey,not_held,0.0195,0.012,6.0,-0.0
1.344,survey,not_held,0.0195,0.0119,6.0,-0.0
1.383,survey,not_held,0.0195,0.0118,6.0,-0.0
1.421,survey,not_held,0.0203,0.0117,5.0,-0.0
1.454,survey,not_held,0.0203,0.0116,5.0,-0.0
1.493,survey,not_held,0.0195,0.0115,3.0,-0.0
1.531,survey,not_held,0.0195,0.0113,3.0,-0.0
1.565,survey,not_held,0.0195,0.0112,3.0,-0.0
1.599,survey,not_held,0.0195,0.0111,8.0,-0.0
1.638,survey,not_held,0.0195,0.011,8.0,-0.0
1.676,survey,not_held,0.0195,0.0109,8.0,-0.0
1.710,survey,not_held,0.0195,0.0107,9.0,-0.0
1.748,survey,not_held,0.0195,0.0106,9.0,-0.0
1.785,survey,not_held,0.0195,0.0105,9.0,-0.0
1.819,survey,not_held,0.0195,0.0104,12.0,-0.0
1.857,survey,not_held,0.0195,0.0103,12.0,-0.0
1.891,survey,not_held,0.0195,0.0102,12.0,-0.0
1.925,survey,not_held,0.0195,0.01,5.0,-0.0
1.964,survey,not_held,0.0195,0.0099,5.0,-0.0
2.000,survey,not_held,0.0203,0.0098,5.0,-0.0
2.039,survey,not_held,0.0203,0.0097,5.0,-0.0
2.074,survey,not_held,0.0203,0.0096,5.0,-0.0
2.112,survey,not_held,0.0195,0.0094,12.0,-0.0
2.146,survey,not_held,0.0195,0.0093,12.0,-0.0
2.181,survey,not_held,0.0195,0.0092,12.0,-0.0
2.215,survey,not_held,0.0195,0.0091,5.0,-0.0
2.251,survey,not_held,0.0195,0.009,5.0,-0.0
2.290,survey,not_held,0.0195,0.0089,5.0,-0.0
2.327,survey,not_held,0.0203,0.0087,9.0,-0.0
2.362,survey,not_held,0.0203,0.0086,9.0,-0.0
2.397,survey,not_held,0.0203,0.0085,9.0,-0.0
2.436,survey,not_held,0.0203,0.0084,9.0,-0.0
2.474,survey,not_held,0.0203,0.0083,9.0,-0.0
2.510,survey,not_held,0.0195,0.0081,5.0,-0.0
2.548,survey,not_held,0.0195,0.008,5.0,-0.0
2.583,survey,not_held,0.0195,0.0079,5.0,-0.0
2.621,survey,not_held,0.0195,0.0078,5.0,-0.0
2.659,survey,not_held,0.0195,0.0077,18.0,-0.0
2.697,survey,not_held,0.0195,0.0076,18.0,-0.0
2.736,survey,not_held,0.0195,0.0074,18.0,-0.0
2.770,survey,not_held,0.0195,0.0073,18.0,-0.0
2.808,survey,not_held,0.0195,0.0072,18.0,-0.0
2.846,survey,not_held,0.0188,0.0071,15.0,-0.0
2.884,survey,not_held,0.0188,0.007,15.0,-0.0
2.919,survey,not_held,0.0188,0.0069,15.0,-0.0
2.954,survey,not_held,0.0195,0.0067,18.0,-0.0
2.991,survey,not_held,0.0195,0.0066,18.0,-0.0
3.024,survey,not_held,0.0195,0.0065,17.0,-0.0
3.061,survey,not_held,0.0195,0.0064,17.0,-0.0
3.100,survey,not_held,0.0195,0.0063,17.0,-0.0
3.135,survey,not_held,0.0195,0.0061,19.0,-0.0
3.169,survey,not_held,0.0195,0.006,19.0,-0.0
3.207,survey,not_held,0.0195,0.0059,19.0,-0.0
3.243,survey,not_held,0.0195,0.0058,18.0,-0.0
3.281,survey,not_held,0.0195,0.0057,18.0,-0.0
3.315,survey,not_held,0.0195,0.0056,18.0,-0.0
3.353,survey,not_held,0.0195,0.0054,17.0,-0.0
3.390,survey,not_held,0.0195,0.0053,17.0,-0.0
3.426,survey,not_held,0.0195,0.0052,17.0,-0.0
3.462,survey,not_held,0.0195,0.0051,17.0,-0.0
3.497,survey,not_held,0.0195,0.005,17.0,-0.0
3.535,survey,not_held,0.0195,0.0048,17.0,-0.0
3.571,survey,not_held,0.0195,0.0047,17.0,-0.0
3.609,survey,not_held,0.0195,0.0046,17.0,-0.0
3.643,survey,not_held,0.0195,0.0045,17.0,-0.0
3.681,survey,not_held,0.0195,0.0044,18.0,-0.0
3.716,survey,not_held,0.0195,0.0043,18.0,-0.0
3.753,survey,not_held,0.0195,0.0041,15.0,-0.0
3.791,survey,not_held,0.0195,0.004,15.0,-0.0
3.825,survey,not_held,0.0195,0.0039,15.0,-0.0
3.859,survey,not_held,0.0195,0.0038,18.0,-0.0
3.896,survey,not_held,0.0195,0.0037,18.0,-0.0
3.931,survey,not_held,0.0195,0.0035,18.0,-0.0
3.967,survey,not_held,0.0195,0.0034,18.0,-0.0
4.002,survey,not_held,0.0195,0.0033,18.0,-0.0
4.035,survey,not_held,0.0195,0.0032,18.0,-0.0
4.074,survey,not_held,0.018,0.0031,24.0,0.0117
4.108,survey,not_held,0.018,0.003,24.0,0.0117
4.146,survey,not_held,0.018,0.0028,24.0,0.0117
4.184,survey,not_held,0.018,0.0027,24.0,-0.0
4.222,survey,not_held,0.018,0.0026,24.0,-0.0
4.258,survey,not_held,0.018,0.0025,24.0,-0.0
4.296,survey,not_held,0.018,0.0024,25.0,-0.0
4.333,survey,not_held,0.018,0.0022,25.0,-0.0
4.368,survey,not_held,0.0173,0.0021,24.0,-0.0
4.404,survey,not_held,0.0173,0.002,24.0,-0.0
4.440,survey,not_held,0.0173,0.0019,24.0,-0.0
4.473,survey,not_held,0.018,0.0018,25.0,-0.0
4.508,survey,not_held,0.018,0.0017,25.0,-0.0
4.546,survey,not_held,0.018,0.0015,25.0,-0.0
4.584,survey,not_held,0.018,0.0014,24.0,-0.0
